community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 2477,"['perfectshot', 'qualitytime', 'beautifullake', 'mountains', 'justletmefly', 'sun', 'perfectmoment', 'readyfortakeoff']",32,-0.057142857142857,-1.82857142857143
community cluster 3588,"['sunrise', 'ocean', 'sun', 'laguna']",33,-0.055555555555556,-1.83333333333333
community cluster 3275,"['instashoes', 'pumpshoe', 'weekendmood', 'halloween2020', 'pumps', 'designed', 'pumpshoes', 'highquality']",16,-0.114754098360656,-1.83606557377049
community cluster 3457,"['instashoes', 'firstprize', 'weekendmood', 'pumps', 'redhighheels', 'designed', 'highquality', 'redheels']",16,-0.114754098360656,-1.83606557377049
community cluster 3102,"['goneswimming', 'fancyshoes', 'summervibes', 'shoesday', 'memes', 'shoefan', 'madeinitalyshoes', 'learntoswim']",28,-0.065789473684211,-1.8421052631579
community cluster 1561,"['takeaway', 'valentinesday', 'muttertag', 'foodporn', 'lecker', 'essen', 'update']",46.125,-0.04,-1.845
community cluster 2632,"['takeaway', 'muttertag', 'local', 'graz', 'freitag', 'staytuned', 'localbusiness']",30.375,-0.060869565217391,-1.84891304347826
community cluster 186,"['goodvibes', 'summervibes', 'sunnyday', 'carlover', 'vibe', 'awareness', 'naturelovers', 'mindset']",49,-0.037735849056604,-1.84905660377358
community cluster 3636,"['österreichurlaub', 'cessna152', 'styria', 'madeinaustria', 'natureshot', 'österreichtour', 'österreichliebe', 'austria']",27,-0.068493150684932,-1.84931506849315
community cluster 2336,"['urbanjungle', 'musicians', 'rollsroyce', 'cover', 'citylife', 'musicvideo', 'livemusic']",21.375,-0.086651053864169,-1.8521662763466
community cluster 1672,"['geschenkkarte', 'aboutBook', 'mutigdiewelterobern', 'selbstvertrauenstärken', 'nurmut', 'kraftlieder', 'steirischewirtschaft', 'individuellelieder']",9,-0.206185567010309,-1.85567010309278
community cluster 3748,"['freedomlife', 'natureingraz', 'cessna152', 'sauberhalten', '2021', 'cleanthecity', 'schauenwirdrauf', 'respectnature']",13,-0.142857142857143,-1.85714285714286
community cluster 2426,"['muttertag', 'holiday', 'sonntag', 'sightseeing', 'mothersday', 'zeit', 'sonne', 'kochen']",39,-0.048,-1.872
community cluster 1152,"['silvester', 'newyearseve', 'christmas', 'newyear', 'lecker', 'celebration', 'happynewyear', 'bhfyp']",35,-0.053571428571429,-1.875
community cluster 3332,"['highheelmadness', 'fashionlover', 'fashionstatement', 'highheelsmurah', 'shoesonfire', 'newstart', 'streetfashion', 'freshstart']",11,-0.170731707317073,-1.87804878048781
community cluster 3611,"['flyinginthesky', 'cessna152flying', 'summerinthecity', 'steigeinundfliegmit', 'cessna152pilot', 'steiermark', 'rotweissrot', 'flyinginaustria']",26,-0.072289156626506,-1.87951807228916
community cluster 3507,"['insight', 'exclusive', 'architecturelovers', 'shopdesign', 'shopdesigner', 'shopdesigns', 'insights', 'redhighheels']",9,-0.209039548022599,-1.88135593220339
community cluster 2990,"['newstyle', 'lifeisbeautiful', 'fashionstyle', 'newstory', 'lifeischange', 'fashioninspo', 'newshoes', 'lifestyle']",16,-0.117647058823529,-1.88235294117647
community cluster 148,"['maintenance', 'ameizing', 'graz', 'loveislove', 'sommernachgespräche', 'schlossberg', 'promotion', 'welschlauf']",14,-0.135135135135135,-1.89189189189189
community cluster 3358,"['vatertag', 'shoestagrammer', 'shoefies', 'shoeaholic', 'fathersday', 'shoestylist', 'details', 'yellowshoes']",10,-0.189655172413793,-1.89655172413793
community cluster 3634,"['österreichurlaub', 'summerfeeling', 'österreich', 'love', 'styriagram', 'natureshot', 'österreichliebe']",42.75,-0.044496487119438,-1.90222482435597
community cluster 3261,"['expensivelifestyle', 'halloweencountdown', 'halloweencorona', 'expensive', 'halloween2020', 'costume', 'coronacostume', 'costumedesign']",11,-0.173139158576052,-1.90453074433657
community cluster 3277,"['goneswimming', 'fancyshoes', 'shoesofig', 'summervibes', 'halloween2020', 'shoefan', 'madeinitalyshoes', 'learntoswim']",29,-0.065789473684211,-1.90789473684211
community cluster 2270,"['handmadewithlove', 'entrepreneur', 'trinkenhilft', 'local', 'grimace', 'youngandurban', 'perfectmoment', 'berries']",21,-0.090909090909091,-1.90909090909091
community cluster 2266,"['keepsmiling', 'schaufenster', 'graz', 'random', 'startuplife', 'puzzle', 'advertisement', 'berries']",17,-0.112676056338028,-1.91549295774648
community cluster 3159,"['instagramshoes', 'pumpshoes', 'stylereport', 'happyhalloween', 'pumps', 'designed', 'pumpshoe', 'shoefilicious']",11,-0.174358974358974,-1.91794871794872
community cluster 3532,"['interiordesign', 'architecture']",8.75,-0.21978021978022,-1.92307692307692
community cluster 3799,"['lakeview', 'summer20121', 'summertime', 'summervibes', 'natureshot', 'travellife', 'lakelovers', 'summerfun']",34,-0.056603773584906,-1.92452830188679
community cluster 1946,"['cheersrost', 'wermut', 'editions', 'drinkstagram', 'icecoffee', 'cheers', 'localbusiness', 'wermouth']",27,-0.071428571428571,-1.92857142857143
community cluster 818,"['womenempowerment', 'gewinnspiel', 'inspiration', 'girlpower', 'women', 'blogger_at', 'reiseblogger', 'blogger']",34,-0.056818181818182,-1.93181818181818
community cluster 1176,"['quoteoftheday', 'muttertag', 'buffet', 'foodporn', 'asianfoodforlife', 'essenszitat']",35,-0.055555555555556,-1.94444444444445
community cluster 2826,"['milk', 'kukuruz', 'porrige', 'vienna', 'ernte', 'kids', 'kraft', 'traktor']",24,-0.081081081081081,-1.94594594594595
community cluster 2622,"['best', 'wood', 'nature', 'graz', 'relaxing', 'trees', 'summer']",32.625,-0.059907834101383,-1.95449308755761
community cluster 3327,"['myshoestoday', 'madeinitalyshoes', 'summervibes', 'stylishshoes', 'shoesonfire', 'learntoswim', 'shoesofig', 'shoesforwomen']",27,-0.072463768115942,-1.95652173913044
community cluster 673,"['flowers', 'foodporn', 'foodblogger', 'mondaymood', 'cake', 'foodlovers']",48.75,-0.040178571428572,-1.95870535714286
community cluster 1592,"['farbenfroh', 'Hospitality', 'StreetArt', 'notjustapearlchallenge', 'blüten', 'TapeArt', 'Graffiti', 'schnittlauchblüten']",9,-0.217948717948718,-1.96153846153846
community cluster 3860,"['royaheydari', 'lalehosmany', 'WhereIsMyName', 'igersösterreich', 'neon', 'solidaritywithafghanistan', 'mixing', 'berlin']",11,-0.178571428571429,-1.96428571428571
community cluster 2877,"['coolshoesby', 'firstprize', 'dontworrybehappy', 'redhighheels', 'lyingaround', 'highheelsneaker']",10,-0.196428571428571,-1.96428571428571
community cluster 3879,"['undercut', 'styling', 'mystyle', 'berlinmoabit', 'hair', 'oxytocinvibes', 'berlin', 'berlinbeinacht']",10,-0.19672131147541,-1.9672131147541
community cluster 1962,"['rose', 'wine', 'ingwer', 'ginger', 'wermut', 'editions', 'rost', 'wermouth']",21,-0.09375,-1.96875
community cluster 2260,"['keepsmiling', 'familytime', 'graz', 'startuplife', 'startup', 'snapshot', 'austria', 'urban']",33,-0.059701492537313,-1.97014925373134
community cluster 1431,"['blogger', 'bhfyp', 'lunch', 'restaurant', 'healthy', 'photo', 'cooking', 'austria']",31,-0.063829787234043,-1.97872340425532
community cluster 533,"['handmadewithlove', 'gewinnspiel', 'cocktail', 'chili', 'onlineshopping', 'cocktails', 'regional']",41.625,-0.047619047619048,-1.98214285714286
community cluster 3035,"['happyhalloween', 'popup', 'halloween2020', 'shoesonfire', 'shoppingtour', 'memes']",17.5,-0.113300492610837,-1.98275862068965
community cluster 147,"['silvester', 'music', 'muttertag', 'österreich', 'love', 'nacht', 'xmas', 'geschenk']",55,-0.036363636363636,-2
community cluster 2914,"['happyhalloween', 'artsyfartsy', 'halloween2020', 'kunstinstallation', 'shoesonfire', 'newshoes', 'memes', 'yellowshoes']",18,-0.111111111111111,-2
community cluster 3118,"['designlover', 'architecturelovers', 'architecture', 'architecturelover', 'design', 'shopdesigns', 'insights', 'memes']",13,-0.153846153846154,-2
community cluster 3526,"['designlover', 'architecturelovers', 'firstprize', 'architecture', 'architecturelover', 'shopdesigns', 'design', 'insights']",12,-0.166666666666667,-2
community cluster 3746,"['cessna152', 'tavel', 'natureshot', 'natureofinstagram', 'freizeitingraz', 'summer', 'carpediem', 'natureinfocus']",9,-0.222222222222222,-2
community cluster 1711,"['schwarztee', 'rotbusch', 'lecker', 'fresh', 'getränke', 'icetea', 'summer', 'rooibos']",34,-0.059016393442623,-2.00655737704918
community cluster 1732,"['schwarztee', 'rotbusch', 'lecker', 'wochenende', 'icetea', 'freitag', 'summer', 'rooibos']",34,-0.059016393442623,-2.00655737704918
community cluster 3517,"['interiordesign', 'lifeisbeautiful', 'newstyle', 'fashionstyle', 'newstory', 'architecture', 'firstprize', 'fashioninspo']",15,-0.134146341463415,-2.01219512195122
community cluster 3459,"['pumpshoes', 'shoefilicious', 'stylereport', 'firstprize', 'redhighheels', 'pumpshoe', 'redheels']",11.25,-0.179331306990881,-2.01747720364742
community cluster 690,"['eyebrowsonfleek', 'allesgutezumgeburtstag', 'sertanejo', 'parabéns', 'sissy', 'gypsygirl', 'collaboration', 'felizcumpleaños']",10,-0.202020202020202,-2.02020202020202
community cluster 3508,"['interiordesign', 'designlover', 'atnight', 'architecture', 'architecturelover', 'design', 'redhighheels', 'designinterior']",14,-0.144578313253012,-2.02409638554217
community cluster 3637,"['österreichweit', 'cessna152', 'love', 'madeinaustria', 'natureshot', 'österreichtour']",38.75,-0.052287581699346,-2.02614379084967
community cluster 860,"['foodphotography', 'foodblogger', 'backenistliebe', 'backenmitliebe', 'reels', 'foodblog', 'torte', 'droetker']",25,-0.081395348837209,-2.03488372093023
community cluster 3648,"['cessna', 'airport', 'upinthesky', 'cessna152flying', 'cessna152aerobat', 'freelife', 'goodlife', 'austria']",8,-0.254545454545455,-2.03636363636364
community cluster 3477,"['highheelsshoes', 'heelsaddict', 'firstprize', 'newstart', 'redhighheels', 'freshstart']",10,-0.203703703703704,-2.03703703703704
community cluster 209,"['supporteachother', 'tb', 'brand', 'nature', 'summerbody', 'vacation', 'igersgraz', 'cold']",66,-0.030927835051547,-2.04123711340206
community cluster 2317,"['urbanjungle', 'femaleartist', 'rollsroyce', 'citylife', 'vocals', 'pop', 'hannakristall', 'musicvideo']",21,-0.097222222222222,-2.04166666666667
community cluster 1403,"['goodmorning', 'video', 'explore', 'ootd', 'smile', 'beautiful', 'fashion', 'memes']",45,-0.045454545454546,-2.04545454545455
community cluster 782,"['mutgewinnt', 'schuldenfrei', 'igersgermany', 'mumpreneur', 'steiermark', 'frühstückingraz', 'krisenmanagement', 'autorin']",27,-0.075757575757576,-2.04545454545455
community cluster 2197,"['friends', 'family', 'partnerincrime', 'proud', 'friendship', 'decisions', 'organic', 'crazy']",44,-0.046511627906977,-2.04651162790698
community cluster 1042,"['gesund', 'frucht', 'hanf', 'antipasti', 'abnehmen', 'gemüse', 'summer', 'veganfood']",22,-0.093023255813954,-2.04651162790698
community cluster 747,"['kinderlieder', 'herzensweg', 'wahrheitleben', 'mutigdiewelterobern', 'soundhorn', 'folgedeinemherzen', 'meditation', 'entspannung']",17,-0.121212121212121,-2.06060606060606
community cluster 2734,"['2min2mio', 'styria', 'paradise', 'awesome', 'relaxing', 'igersgraz', 'unique']",66.375,-0.031055900621118,-2.06133540372671
community cluster 3846,"['donauinsel', 'plakat', 'vienna', 'poster', 'viena', 'neuedonau', 'urbanstyle', 'miejski']",21,-0.098360655737705,-2.0655737704918
community cluster 405,"['hiking', 'happy', 'travel', 'wandern', 'nature', 'salami', 'fashion', 'break']",75,-0.027777777777778,-2.08333333333334
community cluster 2204,"['partnerincrime', 'somethingnew', 'wodka', 'haidenspass', 'passion', 'newdrink', 'aeijst', 'alcohol']",13,-0.160493827160494,-2.08641975308642
community cluster 2326,"['femaleartist', 'influencer', 'streetstyle', 'paradise', 'igersvienna', 'weekendvibes', 'urban']",34.875,-0.059907834101383,-2.08928571428572
community cluster 365,"['weihnachten', 'gin', 'yummi', 'apple', 'healthy', 'cidergram', 'berries']",31.5,-0.066326530612245,-2.08928571428572
community cluster 2412,"['fairfashion', 'holiday', 'sonntag', 'fotografie', 'fair', 'nachhaltig', 'photography', 'summer']",46,-0.045454545454546,-2.09090909090909
community cluster 1869,"['keynotespeaker', 'insiderockets', 'mastermind', 'startups', 'corgi', 'startup', 'startupscenegraz', 'forbes30under30']",26,-0.080459770114943,-2.09195402298851
community cluster 2268,"['cooperation', 'bigeyes', 'erhatdiehaareschön', 'marryKunde', 'barbershop', 'drinklocal', 'drinkandfun', 'berries']",14,-0.150684931506849,-2.10958904109589
community cluster 1588,"['ahornsirup', 'kanada', 'sirup', 'ahorn', 'falstaffprofiatwork', 'notjustapearlchallenge', 'rezept', 'ahornsirupauskanada']",11,-0.191780821917808,-2.10958904109589
community cluster 2420,"['muttertag', 'freude', 'genuss', 'mothersday', 'nature', 'zeit', 'sonne', 'makeup']",44,-0.048,-2.112
community cluster 3447,"['firstprize', 'shoestagrammer', 'shoefies', 'shoeaholic', 'shoestylist', 'redhighheels', 'redheels']",11.25,-0.18796992481203,-2.11466165413534
community cluster 1120,"['quoteoftheday', 'muttertag', 'bhfyp', 'fireworks', 'asianfoodforlife', 'essenszitat', 'foodquotes', 'teppanyaki']",25,-0.084615384615385,-2.11538461538462
community cluster 3265,"['slowmo', 'slowmotion', 'splash', 'waterbomb', 'halloween2020', 'shoes2020', 'womenshoes', 'wasserbombe']",11,-0.192307692307692,-2.11538461538462
community cluster 3715,"['natureingraz', 'sauberhalten', 'madeinaustria', 'natureislife', 'cleanthecity', 'schauenwirdrauf', 'naturediscovery', 'respectnature']",12,-0.176470588235294,-2.11764705882353
community cluster 1359,"['foodphotography', 'like', 'foodlover', 'healthylifestyle', 'restaurant', 'foodlovers', 'cooking', 'foodie']",44,-0.048192771084337,-2.12048192771084
community cluster 3711,"['hikingadventures', 'madeinaustria', 'austriahiking', 'schladming2021', 'travelingram', 'austriamountains', 'styriatravel', 'lakegram']",16,-0.132608695652174,-2.12173913043478
community cluster 3078,"['mother', 'motherhoodunplugged', 'motherhood', 'shoesstyle', 'child', 'motherandbaby', 'memes', 'maria']",10,-0.212765957446808,-2.12765957446809
community cluster 2564,"['instagram', 'visitgraz', 'frühstück', 'genuss', 'party', 'steirisch', 'danke', 'esseningraz']",38,-0.056603773584906,-2.15094339622641
community cluster 2269,"['wholefruit', 'juicy', 'tasty', 'secret', 'verrücktnachbarry', 'delicous', 'drinkthis', 'berries']",21,-0.102941176470588,-2.16176470588235
community cluster 2263,"['effects', 'smile', 'shakeshakeshake', 'videodreh', 'gutaufgelegt', 'magic', 'videoeffects', 'berries']",17,-0.127272727272727,-2.16363636363636
community cluster 1854,"['flowers', 'love', 'flowerbouquet', 'holidays', 'vacation', 'tulips', 'italy']",72,-0.030075187969925,-2.16541353383458
community cluster 1947,"['winelife', 'roséallday', 'icecoffee', 'wineoclock', 'localbrand', 'win', 'winelover', 'giveaway']",28,-0.077519379844961,-2.17054263565891
community cluster 1312,"['fashiongram', 'fashionstyle', 'businesswoman', 'fashionista', 'grazerblogger', 'ootdfashion', 'selflove', 'austria']",18,-0.120689655172414,-2.17241379310345
community cluster 3707,"['artlovers', 'kreuzteich', 'artgram', 'madeinaustria', 'artofinstagram', 'tragöss', 'artoftheday', 'naturevideo']",14,-0.155172413793104,-2.17241379310345
community cluster 3171,"['happyhalloween', 'feetup', 'idontgiveashit', 'footwearnews', 'instashoestyle', 'blonde', 'feetupfriday', 'shoesfashionista']",10,-0.217391304347826,-2.17391304347826
community cluster 2661,"['erfrischend', 'news', 'natur', 'holidays', 'drinks', 'abkühlung', 'erfrischung']",49.5,-0.043956043956044,-2.17582417582417
community cluster 3398,"['goneswimming', 'yellowheels', 'fancyshoes', 'summervibes', 'shoesday', 'shoefan', 'madeinitalyshoes', 'learntoswim']",28,-0.077922077922078,-2.18181818181818
community cluster 3090,"['yellowheel', 'heelsonfire', 'womenshoes', 'heels2020', 'yellowhighheels', 'newhighheels', 'highheels2020', 'memes']",10,-0.218181818181818,-2.18181818181818
community cluster 2323,"['femaleartist', 'rollsroyce', 'womensday', 'igersvienna', 'vocals', 'weekendvibes', 'musicvideo', 'urban']",32,-0.068493150684932,-2.19178082191781
community cluster 2319,"['urbanjungle', 'music', 'femaleartist', 'rollsroyce', 'womensday', 'vocals', 'hannakristall', 'musicvideo']",26,-0.084507042253521,-2.19718309859155
community cluster 3662,"['naturetravel', 'forestlove', 'photpgraphy', 'treesinnature', 'trees', 'forest', 'treesofinstagram', 'austria']",9,-0.244131455399061,-2.19718309859155
community cluster 2963,"['exploretheworld', 'newshoes', 'staypositive', 'reboot2020', 'announcement', 'handmade', 'dashoes', 'shoes4life']",14,-0.156989247311828,-2.19784946236559
community cluster 1049,"['neuimregal', 'apfelwein', 'organic', 'kombucha', 'bio', 'vegetarisch', 'energy', 'wein']",33,-0.066666666666667,-2.2
community cluster 3843,"['chillaxing', 'relajada', 'violet', 'vienna', 'chill', 'calumscott', 'kreuzberg', 'youarethereason']",22,-0.1,-2.2
community cluster 2157,"['keepsmiling', 'products', 'schaufenster', 'productdesign', 'puzzle', 'icetea', 'freshdrink', 'picture']",22,-0.1,-2.2
community cluster 3606,"['shootingday', 'traveling', 'steiermark', 'shootingphoto', 'austrialove', 'schladming', 'hochwurzen', 'austriareels']",27,-0.081967213114754,-2.21311475409836
